Date,Open,High,Low,Close,Adj Close,Volume
"Sep 28, 2011",5294.1,5314.3,5191.4,5217.6,5217.6,726670200
"Sep 27, 2011",5089.4,5294.1,5089.4,5294.1,5294.1,960705900
"Sep 26, 2011",5066.8,5148.8,4974,5089.4,5089.4,1039397000
"Sep 23, 2011",5041.6,5105.4,4928.1,5066.8,5066.8,1013630400
"Sep 22, 2011",5288.4,5288.4,5013.6,5041.6,5041.6,1191994800
"Sep 21, 2011",5363.7,5366.1,5268.8,5288.4,5288.4,770544200
"Sep 20, 2011",5259.6,5377.4,5219.1,5363.7,5363.7,708695000
"Sep 19, 2011",5368.4,5368.4,5231.6,5259.6,5259.6,721392700
"Sep 16, 2011",5337.5,5406.1,5337.5,5368.4,5368.4,1464013700
"Sep 15, 2011",5227,5366.7,5227,5337.5,5337.5,1124040000
"Sep 14, 2011",5174.3,5270.4,5146.4,5227,5227,1116783000
"Sep 13, 2011",5129.6,5203.1,5069.5,5174.3,5174.3,885954000
"Sep 12, 2011",5214.7,5214.7,5059.2,5129.6,5129.6,1009065300
"Sep 09, 2011",5340.4,5352,5202.2,5214.7,5214.7,1048626000
"Sep 08, 2011",5318.6,5369.8,5269.7,5340.4,5340.4,922652100
"Sep 07, 2011",5156.8,5322.2,5156.8,5318.6,5318.6,837910500
"Sep 06, 2011",5102.6,5190.3,5086.8,5156.8,5156.8,946079100
"Sep 05, 2011",5292,5292,5097.7,5102.6,5102.6,788821300
"Sep 02, 2011",5418.7,5418.7,5258.5,5292,5292,823930000
"Sep 01, 2011",5394.5,5449.7,5346.7,5418.7,5418.7,975363800
"Aug 31, 2011",5268.7,5411.6,5258.6,5394.5,5394.5,1178142500
"Aug 30, 2011",5129.9,5283.6,5129.9,5268.7,5268.7,910283100
"Aug 26, 2011",5131.1,5149.5,5014.8,5129.9,5129.9,1037445400
"Aug 25, 2011",5205.9,5254.2,5102.1,5131.1,5131.1,1128589300
"Aug 24, 2011",5129.4,5250.6,5098.1,5205.9,5205.9,908821500
"Aug 23, 2011",5095.3,5193.2,5076.7,5129.4,5129.4,904652300
"Aug 22, 2011",5040.8,5183,4993.3,5095.3,5095.3,857260000
"Aug 19, 2011",5092.2,5107.9,4929.6,5040.8,5040.8,1546098700
"Aug 18, 2011",5331.6,5331.6,5041.6,5092.2,5092.2,1183381000
"Aug 17, 2011",5357.6,5371.1,5279.9,5331.6,5331.6,671941800
"Aug 16, 2011",5350.6,5362.2,5265.8,5357.6,5357.6,716380800
"Aug 15, 2011",5320,5377.2,5319.4,5350.6,5350.6,695636400
"Aug 12, 2011",5162.8,5320,5099.3,5320,5320,1024505200
"Aug 11, 2011",5007.2,5172.7,4943,5162.8,5162.8,1455126400
"Aug 10, 2011",5164.9,5262.7,4990.8,5007.2,5007.2,1649746300
"Aug 09, 2011",5069,5175.6,4791,5164.9,5164.9,2039085100
"Aug 08, 2011",5247,5295.8,5062.4,5069,5069,1576389600
"Aug 05, 2011",5393.1,5393.1,5202.6,5247,5247,2044242400
"Aug 04, 2011",5584.5,5644.1,5393.1,5393.1,5393.1,1428457100
"Aug 03, 2011",5718.4,5718.4,5557.7,5584.5,5584.5,1094346800
"Aug 02, 2011",5774.4,5778.9,5705.3,5718.4,5718.4,995746800
"Aug 01, 2011",5815.2,5913.5,5767.1,5774.4,5774.4,864009700
"Jul 29, 2011",5873.2,5873.2,5772.4,5815.2,5815.2,1014403400
"Jul 28, 2011",5856.6,5882.6,5801.6,5873.2,5873.2,753182900
"Jul 27, 2011",5929.7,5932,5841,5856.6,5856.6,777353400
"Jul 26, 2011",5925.3,5951.3,5895.6,5929.7,5929.7,631694600
"Jul 25, 2011",5935,5938.6,5892.6,5925.3,5925.3,645911000
"Jul 22, 2011",5899.9,5966.8,5899.9,5935,5935,874525300
"Jul 21, 2011",5853.8,5934.3,5797.5,5899.9,5899.9,1051054200
"Jul 20, 2011",5790,5856.4,5790,5853.8,5853.8,900376300
"Jul 19, 2011",5752.8,5802,5752.8,5790,5790,912096000
"Jul 18, 2011",5843.7,5843.7,5752.8,5752.8,5752.8,848623100
"Jul 15, 2011",5847,5863.6,5806,5843.7,5843.7,693411600
"Jul 14, 2011",5906.4,5906.4,5841.2,5847,5847,715477400
"Jul 13, 2011",5869,5911,5851,5906.4,5906.4,830813000
"Jul 12, 2011",5929.2,5929.2,5793,5869,5869,1086509700
"Jul 11, 2011",5990.6,5998.6,5900.8,5929.2,5929.2,850417100
"Jul 08, 2011",6054.6,6084.1,5981.7,5990.6,5990.6,781326500
"Jul 07, 2011",6002.9,6071.7,6002.9,6054.6,6054.6,833720400
"Jul 06, 2011",6024,6026.5,5973.8,6002.9,6002.9,817116300
"Jul 05, 2011",6017.5,6036.3,6011.1,6024,6024,654940400
"Jul 04, 2011",5989.8,6030.8,5985.7,6017.5,6017.5,466358000
"Jul 01, 2011",5945.7,5999,5937,5989.8,5989.8,871319600
"Jun 30, 2011",5856,5945.7,5856,5945.7,5945.7,1221084500
"Jun 29, 2011",5766.9,5860.9,5766.9,5856,5856,908814900
"Jun 28, 2011",5722.3,5795.1,5722.3,5766.9,5766.9,798684500
"Jun 27, 2011",5697.7,5728.4,5679.6,5722.3,5722.3,835562500
"Jun 24, 2011",5674.4,5768.5,5674.4,5697.7,5697.7,1037392600
"Jun 23, 2011",5773,5773,5663.3,5674.4,5674.4,893970700
"Jun 22, 2011",5775.3,5789.1,5741.8,5773,5773,744333700
"Jun 21, 2011",5693.4,5778.1,5693,5775.3,5775.3,745714800
"Jun 20, 2011",5714.9,5714.9,5647.2,5693.4,5693.4,746206400
"Jun 17, 2011",5698.8,5733.2,5645,5714.9,5714.9,1215422800
"Jun 16, 2011",5742.6,5742.6,5644.4,5698.8,5698.8,1039826800
"Jun 15, 2011",5803.1,5803.4,5742.6,5742.6,5742.6,806612100
"Jun 14, 2011",5773.5,5822.6,5773.5,5803.1,5803.1,811563100
"Jun 13, 2011",5765.8,5793.8,5763.4,5773.5,5773.5,643227300
"Jun 10, 2011",5856.3,5867,5758.3,5765.8,5765.8,786839200
"Jun 09, 2011",5808.9,5861.2,5795,5856.3,5856.3,854520000
"Jun 08, 2011",5864.7,5864.7,5791.8,5808.9,5808.9,848359000
"Jun 07, 2011",5863.2,5890.6,5849.2,5864.7,5864.7,792266800
"Jun 06, 2011",5855,5881.1,5827.5,5863.2,5863.2,650699800
"Jun 03, 2011",5847.9,5868.2,5802.7,5855,5855,840497300
"Jun 02, 2011",5928.6,5928.6,5847.9,5847.9,5847.9,980195300
"Jun 01, 2011",5990,5995.2,5911.7,5928.6,5928.6,830972100
"May 31, 2011",5938.9,6010,5938.9,5990,5990,966550600
"May 27, 2011",5881,5951.4,5881,5938.9,5938.9,799337700
"May 26, 2011",5870.1,5910.8,5866.7,5881,5881,863336800
"May 25, 2011",5858.4,5881.2,5810.5,5870.1,5870.1,916829300
"May 24, 2011",5835.9,5884.7,5835.9,5858.4,5858.4,985312300
"May 23, 2011",5948.5,5948.5,5833.4,5835.9,5835.9,852749200
"May 20, 2011",5956,6017.6,5927.7,5948.5,5948.5,897899600
"May 19, 2011",5923.5,6003.9,5923.5,5956,5956,849895900
"May 18, 2011",5861,5934.5,5860.7,5923.5,5923.5,702325400
"May 17, 2011",5923.7,5942.8,5861,5861,5861,756848900
"May 16, 2011",5925.9,5936.2,5862.2,5923.7,5923.7,686694200
"May 13, 2011",5945,6001.3,5919.9,5925.9,5925.9,705255100
"May 12, 2011",5976,5976.4,5882.4,5945,5945,868796500
"May 11, 2011",6018.9,6040.2,5965.3,5976,5976,823139400
"May 10, 2011",5942.7,6023.1,5940.1,6018.9,6018.9,835132700
"May 09, 2011",5976.8,5999.9,5922.2,5942.7,5942.7,803357200
"May 06, 2011",5920,5984.9,5871.6,5976.8,5976.8,1162112200
"May 05, 2011",5984.1,6009.1,5912.6,5920,5920,1597409800
"May 04, 2011",6082.9,6083.8,5972.8,5984.1,5984.1,1002077100
"May 03, 2011",6069.9,6103.7,6050.7,6082.9,6082.9,809170900
"Apr 29, 2011",0,0,0,0,0,-
"Apr 28, 2011",6068.2,6091.8,6051,6069.9,6069.9,741068000
"Apr 27, 2011",6069.4,6089.4,6045.9,6068.2,6068.2,707283900
"Apr 26, 2011",6018.3,6070.6,6007,6069.4,6069.4,553389400
"Apr 21, 2011",6022.3,6049.4,6005.8,6018.3,6018.3,739317000
"Apr 20, 2011",5896.9,6033.8,5896.9,6022.3,6022.3,704737200
"Apr 19, 2011",5870.1,5922.2,5870.1,5896.9,5896.9,624888900
"Apr 18, 2011",5996,5997.5,5858.3,5870.1,5870.1,872742500
"Apr 15, 2011",5963.8,5996.8,5963.6,5996,5996,771907100
"Apr 14, 2011",6010.4,6010.5,5943.8,5963.8,5963.8,667918300
"Apr 13, 2011",5964.5,6043.4,5964.5,6010.4,6010.4,700979400
"Apr 12, 2011",6053.4,6053.6,5958.3,5964.5,5964.5,759467900
"Apr 11, 2011",6055.8,6070.8,6044.5,6053.4,6053.4,659149200
"Apr 08, 2011",6007.4,6066.4,6007.4,6055.8,6055.8,606794600
"Apr 07, 2011",6041.1,6053.1,6007.4,6007.4,6007.4,710450000
"Apr 06, 2011",6007.1,6056.4,6007.1,6041.1,6041.1,810707000
"Apr 05, 2011",6017,6026.3,5989.1,6007.1,6007.1,713905900
"Apr 04, 2011",6009.9,6035.1,5987.7,6017,6017,683415100
"Apr 01, 2011",5908.8,6014.8,5908.8,6009.9,6009.9,921016700
"Mar 31, 2011",5948.3,5972.8,5908.8,5908.8,5908.8,1033616700
"Mar 30, 2011",5932.2,5971,5932.2,5948.3,5948.3,872031100
"Mar 29, 2011",5904.5,5932.7,5879.9,5932.2,5932.2,669291100
"Mar 28, 2011",5900.8,5923,5900.6,5904.5,5904.5,526577800
"Mar 25, 2011",5880.9,5918.7,5878.2,5900.8,5900.8,663222900
"Mar 24, 2011",5795.9,5888.7,5780.4,5880.9,5880.9,828355800
"Mar 23, 2011",5762.7,5802.4,5731.4,5795.9,5795.9,906624900
"Mar 22, 2011",5786.1,5813.8,5742.6,5762.7,5762.7,686659100
"Mar 21, 2011",5718.1,5798.8,5718.1,5786.1,5786.1,764087000
"Mar 18, 2011",5696.1,5758.2,5696.1,5718.1,5718.1,1379187400
"Mar 17, 2011",5598.2,5707.7,5598.2,5696.1,5696.1,931686000
"Mar 16, 2011",5695.3,5720.9,5598.2,5598.2,5598.2,1124024300
"Mar 15, 2011",5775.2,5775.2,5591.6,5695.3,5695.3,1270223400
"Mar 14, 2011",5828.7,5842,5769,5775.2,5775.2,830598200
"Mar 11, 2011",5845.3,5845.3,5796.4,5828.7,5828.7,777919800
"Mar 10, 2011",5937.3,5937.3,5833.2,5845.3,5845.3,950808500
"Mar 09, 2011",5974.8,5979.3,5922.7,5937.3,5937.3,729979100
"Mar 08, 2011",5973.8,5999.9,5911,5974.8,5974.8,813024200
"Mar 07, 2011",5990.4,6043.1,5967.7,5973.8,5973.8,651065500
"Mar 04, 2011",6005.1,6052.1,5983.2,5990.4,5990.4,728615500
"Mar 03, 2011",5914.9,6017.1,5914.9,6005.1,6005.1,811030200
"Mar 02, 2011",5935.8,5941.8,5865.9,5914.9,5914.9,891083600
"Mar 01, 2011",5994,6040.4,5927.4,5935.8,5935.8,895639800
"Feb 28, 2011",6001.2,6022.3,5963.6,5994,5994,955595700
"Feb 25, 2011",5920,6011.5,5920,6001.2,6001.2,836550300
"Feb 24, 2011",5923.5,5936.7,5861,5920,5920,939695100
"Feb 23, 2011",5996.8,5996.8,5915.5,5923.5,5923.5,895634900
"Feb 22, 2011",6014.8,6028.6,5926.6,5996.8,5996.8,769147500
"Feb 21, 2011",6083,6105.8,6013.1,6014.8,6014.8,629790600
"Feb 18, 2011",6087.4,6096.8,6048.8,6083,6083,802223000
"Feb 17, 2011",6085.3,6101.4,6066.7,6087.4,6087.4,1021989100
"Feb 16, 2011",6037.1,6095.8,6033.5,6085.3,6085.3,858245200
"Feb 15, 2011",6060.1,6072.1,6023.8,6037.1,6037.1,873268200
"Feb 14, 2011",6062.9,6091.5,6042.1,6060.1,6060.1,635408300
"Feb 11, 2011",6020,6071.4,5973.4,6062.9,6062.9,822602600
"Feb 10, 2011",6052.3,6052.3,5986.5,6020,6020,821798100
"Feb 09, 2011",6091.3,6091.3,6049.5,6052.3,6052.3,923551800
"Feb 08, 2011",6051,6091.3,6032.9,6091.3,6091.3,858439600
"Feb 07, 2011",5997.4,6054.1,5996.6,6051,6051,694875000
"Feb 04, 2011",5983.3,6023.4,5983.3,5997.4,5997.4,763863300
"Feb 03, 2011",6000.1,6000.3,5951.8,5983.3,5983.3,1033274600
"Feb 02, 2011",5957.8,6020.5,5957.8,6000.1,6000.1,878318400
"Feb 01, 2011",5862.9,5963.7,5862.9,5957.8,5957.8,963349500
"Jan 31, 2011",5881.4,5881.7,5815.4,5862.9,5862.9,931414900
"Jan 28, 2011",5965.1,5965.8,5877.9,5881.4,5881.4,968312100
"Jan 27, 2011",5969.2,5997.3,5950.7,5965.1,5965.1,819346500
"Jan 26, 2011",5917.7,6003.3,5917.7,5969.2,5969.2,880021300
"Jan 25, 2011",5943.9,5964.7,5904.3,5917.7,5917.7,1034224500
"Jan 24, 2011",5896.3,5960.6,5887.6,5943.9,5943.9,918501600
"Jan 21, 2011",5867.9,5939.3,5867.9,5896.3,5896.3,1161650600
"Jan 20, 2011",5976.7,5977.5,5867.3,5867.9,5867.9,999116500
"Jan 19, 2011",6056.4,6077.1,5974.8,5976.7,5976.7,882393000
"Jan 18, 2011",5985.7,6065.7,5985.5,6056.4,6056.4,869099100
"Jan 17, 2011",6002.1,6013.4,5975.6,5985.7,5985.7,599125200
"Jan 14, 2011",6023.9,6031.7,5948.5,6002.1,6002.1,852945600
"Jan 13, 2011",6050.7,6055.5,6005.5,6023.9,6023.9,921442500
"Jan 12, 2011",6014,6050.7,6013.9,6050.7,6050.7,1021020800
"Jan 11, 2011",5956.3,6035.9,5956.3,6014,6014,861069300
"Jan 10, 2011",5984.3,5984.3,5939.9,5956.3,5956.3,662691000
"Jan 07, 2011",6019.5,6023.7,5973.4,5984.3,5984.3,780033100
"Jan 06, 2011",6043.9,6090.5,6004.6,6019.5,6019.5,843815800
"Jan 05, 2011",6013.9,6043.9,5964.4,6043.9,6043.9,884510500
"Jan 04, 2011",5899.9,6049.5,5899.9,6013.9,6013.9,950390700
"Dec 31, 2010",5971,5985.7,5899.9,5899.9,5899.9,197447000
"Dec 30, 2010",5996.4,6009.8,5969.7,5971,5971,252316600
"Dec 29, 2010",6008.9,6021.5,5977,5996.4,5996.4,329122200
"Dec 24, 2010",5996.1,6008.9,5978.2,6008.9,6008.9,66767100
"Dec 23, 2010",5983.5,6000.6,5982.2,5996.1,5996.1,314131700
"Dec 22, 2010",5951.8,5991.9,5936.3,5983.5,5983.5,527260100
"Dec 21, 2010",5891.6,5953.9,5891.1,5951.8,5951.8,541859600
"Dec 20, 2010",5871.8,5913.8,5865.5,5891.6,5891.6,536148500
"Dec 17, 2010",5881.1,5902.5,5857.3,5871.8,5871.8,1431434300
"Dec 16, 2010",5882.2,5907.1,5862.9,5881.1,5881.1,635565900
"Dec 15, 2010",5891.2,5898,5858.1,5882.2,5882.2,781046600
"Dec 14, 2010",5860.8,5891.2,5847.2,5891.2,5891.2,665056300
"Dec 13, 2010",5813,5873.7,5812.9,5860.8,5860.8,562916600
"Dec 10, 2010",5808,5827.6,5794.5,5813,5813,611914600
"Dec 09, 2010",5794.5,5838,5794.5,5808,5808,910240700
"Dec 08, 2010",5808.5,5826.6,5774.3,5794.5,5794.5,795433900
"Dec 07, 2010",5770.3,5850.4,5769.7,5808.5,5808.5,915796600
"Dec 06, 2010",5745.3,5785.7,5728.5,5770.3,5770.3,760501400
"Dec 03, 2010",5767.6,5784.3,5720.2,5745.3,5745.3,758341000
"Dec 02, 2010",5642.5,5770.9,5642.5,5767.6,5767.6,1070087500
"Dec 01, 2010",5528.3,5656.2,5528.3,5642.5,5642.5,1141747400
"Nov 30, 2010",5551,5597,5519.2,5528.3,5528.3,1312071800
"Nov 29, 2010",5668.7,5722.7,5551,5551,5551,1016586000
"Nov 26, 2010",5698.9,5699,5599.3,5668.7,5668.7,862384300
"Nov 25, 2010",5657.1,5707.9,5654.7,5698.9,5698.9,556473500
"Nov 24, 2010",5581.3,5671.9,5573.3,5657.1,5657.1,907509900
"Nov 23, 2010",5680.8,5681.1,5581.3,5581.3,5581.3,1029344700
"Nov 22, 2010",5732.8,5783.1,5668.5,5680.8,5680.8,772790500
"Nov 19, 2010",5768.7,5774.1,5684.5,5732.8,5732.8,732494100
"Nov 18, 2010",5692.6,5783,5692.6,5768.7,5768.7,729396200
"Nov 17, 2010",5681.9,5704.4,5659.7,5692.6,5692.6,761486100
"Nov 16, 2010",5820.4,5820.4,5680.9,5681.9,5681.9,871717200
"Nov 15, 2010",5796.9,5832.9,5755.7,5820.4,5820.4,620872900
"Nov 12, 2010",5815.2,5831.8,5711.7,5796.9,5796.9,983021500
"Nov 11, 2010",5816.9,5846.5,5792.6,5815.2,5815.2,1091041700
"Nov 10, 2010",5875.2,5877,5796.2,5816.9,5816.9,942150500
"Nov 09, 2010",5850,5902.1,5847.4,5875.2,5875.2,951025400
"Nov 08, 2010",5875.4,5881,5841.3,5850,5850,772245200
"Nov 05, 2010",5862.8,5899.4,5834,5875.4,5875.4,1106801400
"Nov 04, 2010",5749,5876,5749,5862.8,5862.8,1079039900
"Nov 03, 2010",5757.4,5773.7,5730.5,5749,5749,825699300
"Nov 02, 2010",5694.6,5771.6,5690.4,5757.4,5757.4,805488200
"Nov 01, 2010",5675.2,5733,5667.4,5694.6,5694.6,641764000
"Oct 29, 2010",5677.9,5699.2,5647.1,5675.2,5675.2,836504200
"Oct 28, 2010",5646,5711.8,5646,5677.9,5677.9,767341000
"Oct 27, 2010",5707.3,5707.3,5630.9,5646,5646,787759900
"Oct 26, 2010",5752,5754.2,5677.2,5707.3,5707.3,812401800
"Oct 25, 2010",5741.4,5794.3,5741.4,5752,5752,772475900
"Oct 22, 2010",5757.9,5758,5724.3,5741.4,5741.4,656563500
"Oct 21, 2010",5728.9,5786.7,5698,5757.9,5757.9,1023125900
"Oct 20, 2010",5703.9,5730,5680.4,5728.9,5728.9,671501800
"Oct 19, 2010",5742.5,5761.9,5690.6,5703.9,5703.9,777665300
"Oct 18, 2010",5703.4,5748.8,5670.1,5742.5,5742.5,610917600
"Oct 15, 2010",5727.2,5743.9,5666,5703.4,5703.4,996353400
"Oct 14, 2010",5747.4,5770.9,5712.9,5727.2,5727.2,1129485800
"Oct 13, 2010",5661.6,5760.5,5661.6,5747.4,5747.4,971374300
"Oct 12, 2010",5672.4,5677,5597.5,5661.6,5661.6,637397400
"Oct 11, 2010",5657.6,5686,5655.7,5672.4,5672.4,475637900
"Oct 08, 2010",5662.1,5663.7,5606.6,5657.6,5657.6,1047049700
"Oct 07, 2010",5681.4,5707.3,5650.8,5662.1,5662.1,947272600
"Oct 06, 2010",5635.8,5695.5,5635.8,5681.4,5681.4,756640400
"Oct 05, 2010",5556,5646.1,5550.6,5635.8,5635.8,830075100
"Oct 04, 2010",5592.9,5601.2,5550.8,5556,5556,604252100
"Oct 01, 2010",5548.6,5615.1,5547.6,5592.9,5592.9,823630700
"Sep 30, 2010",5569.3,5650.3,5539.1,5548.6,5548.6,1012633600
"Sep 29, 2010",5578.4,5624.5,5544.7,5569.3,5569.3,799992400
"Sep 28, 2010",5573.4,5582.1,5506.1,5578.4,5578.4,854163200
"Sep 27, 2010",5598.5,5615.8,5569.9,5573.4,5573.4,600635600
"Sep 24, 2010",5547.1,5612.5,5516.5,5598.5,5598.5,818644700
"Sep 23, 2010",5551.9,5588.8,5471.7,5547.1,5547.1,795945500
"Sep 22, 2010",5576.2,5597.6,5516.9,5551.9,5551.9,783222600
"Sep 21, 2010",5602.5,5635.7,5576.2,5576.2,5576.2,730333600
"Sep 20, 2010",5508.5,5607.3,5508.5,5602.5,5602.5,676518800
"Sep 17, 2010",5540.1,5612.9,5508.5,5508.5,5508.5,1391565500
"Sep 16, 2010",5555.6,5564.5,5534,5540.1,5540.1,700521300
"Sep 15, 2010",5567.4,5578.7,5536,5555.6,5555.6,764665800
"Sep 14, 2010",5565.5,5582.5,5541.5,5567.4,5567.4,736346400
"Sep 13, 2010",5501.6,5571.4,5501.6,5565.5,5565.5,882318800
"Sep 10, 2010",5494.2,5511.5,5475.9,5501.6,5501.6,792428300
"Sep 09, 2010",5429.7,5505.7,5412.5,5494.2,5494.2,936215800
"Sep 08, 2010",5407.8,5445.6,5361.4,5429.7,5429.7,851371400
"Sep 07, 2010",5439.2,5439.2,5381.1,5407.8,5407.8,698426500
"Sep 06, 2010",5428.2,5459.4,5428.2,5439.2,5439.2,482717500
"Sep 03, 2010",5371,5454,5371,5428.2,5428.2,733985200
"Sep 02, 2010",5366.4,5383.7,5347,5371,5371,836275200
"Sep 01, 2010",5225.2,5366.4,5225.2,5366.4,5366.4,990584200
"Aug 31, 2010",5201.6,5225.2,5129.7,5225.2,5225.2,1162231100
"Aug 27, 2010",5155.8,5211.6,5121,5201.6,5201.6,791004500
"Aug 26, 2010",5109.4,5167.8,5109.4,5155.8,5155.8,699881200
